0|0|1,580|-9,710|1,691.43|0
1|0|330|-9,320|1,691.43|0
2|0|270|-6,250|1,699.96|0
3|0|809|-8,970|1,690.47|0
4|0|1,340|-8,970|1,695.27|0
5|0|1,660|-8,430|1,692.39|0
6|0|1,580|-7,510|1,694.31|0
7|1|-90|-8,100|1,698.15|0.0
0|0|1,580|-9,710|1,691.43|0.1
1|0|330|-9,320|1,691.43|0.1
2|0|270|-6,250|1,699.96|0.1
3|0|809|-8,970|1,690.47|0.1
4|0|1,340|-8,970|1,695.27|0.1
5|0|1,660|-8,430|1,692.39|0.1
6|0|1,580|-7,510|1,694.31|0.1
7|1|-90|-8,100|1,698.15|0.1
0|0|1,580|-9,710|1,691.43|0.2
1|0|330|-9,320|1,691.43|0.2
2|0|270|-6,250|1,699.96|0.2
3|0|809|-8,970|1,690.47|0.2
4|0|1,340|-8,970|1,695.27|0.2
5|0|1,660|-8,430|1,692.39|0.2
6|0|1,580|-7,510|1,694.31|0.2
7|1|-90|-8,100|1,698.15|0.2
0|0|1,580|-9,710|1,691.43|0.3
1|0|330|-9,320|1,691.43|0.3
2|0|270|-6,250|1,699.96|0.3
3|0|809|-8,970|1,690.47|0.3
4|0|1,340|-8,970|1,695.27|0.3
5|0|1,660|-8,430|1,692.39|0.3
6|0|1,580|-7,510|1,694.31|0.3
7|1|-90|-8,100|1,698.15|0.3
0|0|1,580|-9,710|1,691.43|0.4
1|0|330|-9,320|1,691.43|0.4
2|0|270|-6,250|1,699.96|0.4
3|0|809|-8,970|1,690.47|0.4
4|0|1,340|-8,970|1,695.27|0.4
5|0|1,660|-8,430|1,692.39|0.4
6|0|1,580|-7,510|1,694.31|0.4
7|1|-90|-8,100|1,698.15|0.4
0|0|1,579.99|-9,701.47|1,691.43|0.5
1|0|327.73|-9,312.2|1,691.43|0.5
2|0|270.92|-6,258.48|1,699.96|0.5
3|0|800.69|-8,968.06|1,690.47|0.5
4|0|1,348.16|-8,967.68|1,695.27|0.5
5|0|1,658.91|-8,421.54|1,692.39|0.5
6|0|1,577.49|-7,501.84|1,694.31|0.5
7|1|-90|-8,100|1,698.15|0.5
0|0|1,579.94|-9,675.62|1,691.43|0.6
1|0|324.79|-9,293.34|1,691.43|0.6
2|0|273.86|-6,285.73|1,699.96|0.6
3|0|777.26|-8,962.59|1,690.47|0.6
4|0|1,365.12|-8,962.7|1,695.27|0.6
5|0|1,655.61|-8,395.9|1,692.39|0.6
6|0|1,569.91|-7,477.13|1,694.31|0.6
7|1|-90|-8,100|1,698.15|0.6
0|0|1,579.9|-9,647.82|1,691.43|0.7
1|0|321.91|-9,274.48|1,691.43|0.7
2|0|277.19|-6,316.55|1,699.96|0.7
3|0|752.91|-8,956.9|1,690.47|0.7
4|0|1,381.65|-8,957.88|1,695.27|0.7
5|0|1,652.06|-8,368.33|1,692.39|0.7
6|0|1,561.74|-7,450.56|1,694.31|0.7
7|1|-90|-8,100|1,698.15|0.7
0|0|1,579.85|-9,617.39|1,691.43|0.8
1|0|318.81|-9,253.82|1,691.43|0.8
2|0|280.84|-6,350.28|1,699.96|0.8
3|0|726.27|-8,950.68|1,690.47|0.8
4|0|1,399.6|-8,952.15|1,695.27|0.8
5|0|1,648.17|-8,338.15|1,692.39|0.8
6|0|1,552.81|-7,421.47|1,694.31|0.8
7|1|-90|-8,100|1,698.15|0.8
0|0|1,579.8|-9,589.99|1,691.43|0.9
1|0|316.08|-9,235.21|1,691.43|0.9
2|0|284.13|-6,380.66|1,699.96|0.9
3|0|702.27|-8,945.08|1,690.47|0.9
4|0|1,415.92|-8,945.92|1,695.27|0.9
5|0|1,644.67|-8,310.97|1,692.39|0.9
6|0|1,544.76|-7,395.28|1,694.31|0.9
7|1|-90|-8,100|1,698.15|0.9
0|0|1,579.75|-9,561.93|1,691.43|1
1|0|313.33|-9,216.15|1,691.43|1
2|0|287.49|-6,411.76|1,695.65|1
3|0|678.77|-8,940.22|1,690.47|1
4|0|1,432.09|-8,939.57|1,695.27|1
5|0|1,641.09|-8,283.15|1,692.39|1
6|0|1,536.53|-7,368.46|1,694.31|1
7|1|-90|-8,100|1,698.15|1.0
0|0|1,579.71|-9,534.13|1,691.43|1.1
1|0|310.67|-9,197.24|1,691.43|1.1
2|0|290.82|-6,442.59|1,693.35|1.1
3|0|660.4|-8,939.22|1,690.47|1.1
4|0|1,448.08|-8,932.05|1,695.27|1.1
5|0|1,637.54|-8,255.57|1,692.39|1.1
6|0|1,528.36|-7,341.88|1,694.31|1.1
7|1|-90|-8,100|1,698.15|1.1
0|0|1,579.66|-9,505.39|1,691.43|1.2
1|0|308.25|-9,177.2|1,691.43|1.2
2|0|294.27|-6,474.45|1,693.35|1.2
3|0|639.19|-8,936|1,690.47|1.2
4|0|1,463.98|-8,924.03|1,695.27|1.2
5|0|1,633.87|-8,227.06|1,692.39|1.2
6|0|1,513.05|-7,321.3|1,694.31|1.2
7|1|-90|-8,100|1,698.15|1.2
0|0|1,579.61|-9,477.32|1,691.43|1.3
1|0|307.27|-9,155.3|1,691.43|1.3
2|0|297.63|-6,505.57|1,693.35|1.3
3|0|620.64|-8,934.38|1,690.47|1.3
4|0|1,479.03|-8,914.5|1,695.27|1.3
5|0|1,630.28|-8,199.22|1,692.39|1.3
6|0|1,486.45|-7,312.32|1,694.31|1.3
7|1|-90|-8,100|1,698.15|1.3
0|0|1,579.57|-9,449.52|1,691.43|1.4
1|0|309.03|-9,128.76|1,691.43|1.4
2|0|300.96|-6,536.39|1,693.35|1.4
3|0|602.77|-8,932.81|1,690.47|1.4
4|0|1,492.71|-8,904.07|1,695.27|1.4
5|0|1,626.73|-8,171.65|1,692.39|1.4
6|0|1,460.12|-7,303.43|1,694.31|1.4
7|1|-90|-8,100|1,698.15|1.4
0|0|1,579.52|-9,421.72|1,691.43|1.5
1|0|310.79|-9,102.22|1,691.43|1.5
2|0|304.29|-6,567.21|1,693.35|1.5
3|0|584.95|-8,930.75|1,690.47|1.5
4|0|1,503.9|-8,889.02|1,695.27|1.5
5|0|1,623.18|-8,144.08|1,692.39|1.5
6|0|1,433.78|-7,294.53|1,694.31|1.5
7|1|-90|-8,100|1,698.15|1.5
0|0|1,579.47|-9,393.92|1,691.43|1.6
1|0|312.55|-9,075.68|1,691.43|1.6
2|0|307.63|-6,598.03|1,693.35|1.6
3|0|567.21|-8,928.13|1,690.47|1.6
4|0|1,515.51|-8,868.01|1,695.27|1.6
5|0|1,619.63|-8,116.51|1,692.39|1.6
6|0|1,407.44|-7,285.64|1,694.31|1.6
7|1|-90|-8,100|1,698.15|1.6
0|0|1,579.43|-9,366.12|1,691.43|1.7
1|0|314.31|-9,049.14|1,691.43|1.7
2|0|310.96|-6,628.85|1,693.35|1.7
3|0|549.58|-8,924.86|1,690.47|1.7
4|0|1,527.11|-8,847.01|1,695.27|1.7
5|0|1,616.08|-8,088.93|1,692.39|1.7
6|0|1,381.1|-7,276.74|1,694.31|1.7
7|1|-90|-8,100|1,698.15|1.7
0|0|1,579.38|-9,338.32|1,691.43|1.8
1|0|316.07|-9,022.59|1,691.43|1.8
2|0|314.29|-6,659.67|1,693.35|1.8
3|0|532.11|-8,920.78|1,690.47|1.8
4|0|1,538.72|-8,826|1,695.27|1.8
5|0|1,612.53|-8,061.36|1,692.39|1.8
6|0|1,354.76|-7,267.85|1,694.31|1.8
7|1|-90|-8,100|1,698.15|1.8
0|0|1,579.34|-9,310.52|1,691.43|1.9
1|0|317.83|-8,996.05|1,691.43|1.9
2|0|312.63|-6,682.31|1,693.35|1.9
3|0|514.91|-8,915.7|1,690.47|1.9
4|0|1,550.33|-8,805|1,695.27|1.9
5|0|1,608.98|-8,033.79|1,692.39|1.9
6|0|1,328.42|-7,258.96|1,694.31|1.9
7|1|-85.87|-8,099.43|1,698.15|1.9
0|0|1,579.29|-9,282.68|1,691.43|2
1|0|319.59|-8,969.48|1,691.43|2
2|0|312.13|-6,705.97|1,693.35|2
3|0|498.17|-8,909.23|1,690.47|2
4|0|1,561.95|-8,783.96|1,695.27|2
5|0|1,605.42|-8,006.18|1,692.39|2
6|0|1,302.05|-7,250.05|1,694.31|2
7|1|-67.27|-8,096.84|1,698.15|2.0
0|0|1,579.24|-9,254.88|1,691.43|2.1
1|0|321.35|-8,942.93|1,691.43|2.1
2|0|311.94|-6,729.62|1,693.35|2.1
3|0|482.49|-8,900.57|1,690.47|2.1
4|0|1,573.56|-8,762.96|1,695.27|2.1
5|0|1,601.87|-7,978.61|1,692.39|2.1
